model,dataset,class,precision,recall,f1_score,support
Soft Voting Hybrid,UNSW-NB15 (multiclass),Analysis,0.372,0.2575,0.3043,536
Soft Voting Hybrid,UNSW-NB15 (multiclass),Backdoor,0.2114,0.1674,0.1868,466
Soft Voting Hybrid,UNSW-NB15 (multiclass),DoS,0.4745,0.7945,0.5941,2000
Soft Voting Hybrid,UNSW-NB15 (multiclass),Exploits,0.7592,0.5045,0.6062,2000
Soft Voting Hybrid,UNSW-NB15 (multiclass),Fuzzers,0.7535,0.807,0.7793,2000
Soft Voting Hybrid,UNSW-NB15 (multiclass),Generic,0.999,0.98,0.9894,2000
Soft Voting Hybrid,UNSW-NB15 (multiclass),Normal,0.964,0.749,0.843,2000
Soft Voting Hybrid,UNSW-NB15 (multiclass),Reconnaissance,0.9328,0.8185,0.8719,2000
Soft Voting Hybrid,UNSW-NB15 (multiclass),Shellcode,0.6111,0.9106,0.7314,302
Soft Voting Hybrid,UNSW-NB15 (multiclass),Worms,0.4828,0.8,0.6022,35
Soft Voting Hybrid,UNSW-NB15 (multiclass),macro avg,0.656,0.6789,0.6509,13339
Soft Voting Hybrid,UNSW-NB15 (multiclass),weighted avg,0.7696,0.7366,0.7392,13339
